ID ,Slope,Intercept,R value,P value,K2 ,P val Error
F3 1,0.158,15.003,0.797,0.0,20.595,0.0
F5 1,0.09,11.704,0.558,0.0,276.118,0.0
F7 1,0.039,8.022,0.383,0.0,387.971,0.0
F3 2,1.093,10.523,0.98,0.0,9.248,0.01
F5 2,0.358,9.116,0.87,0.0,2132.74,0.0
F7 2,0.116,6.633,0.634,0.0,2741.132,0.0
