A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
3.47227,5.84119,3.16363,-0.43362,-2.41014,-2.56301,-2.68398,-9.0931,-7.14023,-5.86499,-5.02172,-4.1098,-3.78465,,,,,,,
3.47297,5.9029,2.91969,-0.20717,-2.35384,-2.43658,-2.13102,-9.16044,-6.97415,-5.84334,-5.02963,-4.2016,-3.92936,,,,,,,
3.47356,5.79959,3.1532,-0.23208,-2.3484,-2.50138,-1.80666,-9.19405,-7.07683,-5.83553,-5.04512,-4.22523,-4.10745,,,,,,,
3.47425,5.95227,3.30563,-0.37877,-2.31515,-2.51308,-1.86112,-9.0671,-6.905,-5.87054,-5.02097,-4.18179,-3.94475,,,,,,,
3.47485,6.09035,3.16955,-0.19254,-2.27951,-2.44988,-2.18055,-9.17805,-7.07088,-5.91417,-5.01719,-4.22466,-3.89923,,,,,,,
3.47554,5.95678,3.13451,-0.35801,-2.29922,-2.16228,-1.91196,-9.12749,-7.04889,-5.95713,-5.04742,-4.19428,-3.92215,,,,,,,
3.47619,6.11341,3.26349,-0.27921,-2.24523,-2.5244,-1.98099,-9.14779,-7.08451,-5.9328,-5.07735,-4.14623,-3.92966,,,,,,,
3.47682,6.07233,3.04668,-0.35286,-2.26788,-2.38089,-2.14958,-9.22724,-7.06992,-5.86695,-5.05476,-4.23012,-4.00491,,,,,,,
3.47746,6.27364,3.43522,-0.22425,-2.21175,-2.45902,-2.17143,-9.25702,-7.10679,-5.89932,-5.08423,-4.21032,-4.13163,,,,,,,
3.47809,5.89777,3.20174,-0.15628,-2.20198,-2.35798,-1.90443,-9.18448,-7.04783,-5.84557,-5.07326,-4.17783,-3.99031,,,,,,,
3.47868,6.25959,3.18175,0.01157,-2.21863,-2.38813,-2.09584,-9.14973,-7.06338,-5.87697,-5.07785,-4.19009,-4.00338,,,,,,,
3.47938,6.34685,3.32917,0.08205,-2.14688,-2.28496,-2.08514,-9.14883,-7.07171,-5.90481,-5.06899,-4.18031,-4.06711,,,,,,,
3.48006,6.04261,3.35282,-0.15898,-2.19185,-2.22117,-1.83113,-9.22869,-6.9804,-5.90707,-5.08627,-4.19613,-4.11064,,,,,,,
3.4807,6.26991,3.19082,0.05493,-2.1291,-2.29485,-2.10503,-9.26007,-7.07901,-5.8902,-5.08735,-4.16117,-4.07563,,,,,,,
3.48135,6.2023,3.36421,-0.10326,-2.10967,-2.28226,-1.87948,-9.23648,-7.0953,-5.9471,-5.07862,-4.20501,-4.11109,,,,,,,
3.48204,6.21225,3.35291,-0.15261,-2.12458,-2.15968,-1.96697,-9.32282,-7.06134,-5.87227,-5.10003,-4.11951,-3.96852,,,,,,,
3.48269,6.40951,3.136,-0.16269,-2.06761,-2.2268,-1.68765,-9.21687,-7.08861,-5.96558,-5.1022,-4.25674,-3.99664,,,,,,,
3.48335,6.45156,3.22194,-0.06961,-2.01507,-2.19928,-1.74537,-9.37538,-7.11372,-5.91501,-5.09436,-4.23227,-4.1364,,,,,,,
3.48403,6.28971,3.50692,0.01267,-2.03705,-2.22992,-2.01502,-9.23884,-7.11647,-5.91143,-5.11207,-4.22777,-4.08722,,,,,,,
3.48464,6.43235,3.66065,-0.17258,-2.02732,-2.11534,-2.11084,-9.26068,-7.18893,-5.88497,-5.10321,-4.2157,-3.91728,,,,,,,
3.48533,6.44888,3.5803,-0.09387,-1.99725,-2.14729,-1.86626,-9.26518,-7.07033,-5.91459,-5.08259,-4.22397,-4.01926,,,,,,,
3.48596,6.39987,3.59788,0.00941,-1.96087,-2.12262,-2.01395,-9.20687,-7.16023,-5.8918,-5.08902,-4.1534,-4.06441,,,,,,,
3.48661,6.57567,3.67898,-0.04593,-2.00677,-2.11416,-1.88072,-9.26827,-7.22192,-5.9341,-5.09247,-4.2094,-4.00167,,,,,,,
3.4873,6.37978,3.53128,0.14391,-1.95251,-2.14268,-2.15982,-9.23844,-7.16482,-5.95229,-5.0911,-4.18346,-4.00236,,,,,,,
3.48794,6.67111,3.68227,0.05503,-1.84947,-2.14109,-1.95404,-9.27812,-7.09528,-5.92731,-5.11669,-4.19879,-3.98396,,,,,,,
3.48857,6.59406,3.578,0.23147,-1.92463,-2.18072,-1.8573,-9.30068,-7.06254,-5.93805,-5.12884,-4.19127,-4.17875,,,,,,,
3.48916,6.51524,3.38852,0.12041,-1.8403,-1.94513,-1.94634,-9.2408,-7.16399,-5.94918,-5.09433,-4.24063,-3.98555,,,,,,,
3.48985,6.45109,3.73759,0.09268,-1.89711,-2.03336,-1.90732,-9.23508,-7.13337,-5.91349,-5.12109,-4.19239,-3.97627,,,,,,,
3.49054,6.49727,3.56022,0.3003,-1.89057,-1.85749,-1.63867,-9.22075,-7.15188,-5.94477,-5.1049,-4.25353,-4.05129,,,,,,,
3.49114,6.60551,3.48843,0.15027,-1.87675,-2.04947,-1.4376,-9.27163,-7.14936,-5.89242,-5.09193,-4.22148,-3.99579,,,,,,,
3.49182,6.44089,3.54049,0.26564,-1.79793,-1.91897,-1.76097,-9.28562,-7.1606,-5.9107,-5.07995,-4.21314,-3.97591,,,,,,,
3.49242,6.59887,3.70928,0.20783,-1.89267,-2.03015,-1.78968,-9.30638,-7.19943,-5.94213,-5.10101,-4.14826,-4.02622,,,,,,,
3.49312,6.78751,3.73766,0.36239,-1.79478,-1.91147,-1.818,-9.19144,-7.14901,-5.95115,-5.08129,-4.18106,-3.98464,,,,,,,
3.49371,6.59584,3.77949,0.23171,-1.77071,-1.9631,-1.74603,-9.34169,-7.1869,-5.86696,-5.07399,-4.24111,-4.04643,,,,,,,
3.4944,6.81329,3.73756,0.1923,-1.73282,-1.84701,-1.44222,-9.28047,-7.15432,-5.98903,-5.07227,-4.22683,-4.08751,,,,,,,
3.49504,6.58253,3.7195,0.30263,-1.70928,-1.98233,-1.53548,-9.37988,-7.18172,-5.96622,-5.10777,-4.22851,-4.1128,,,,,,,
3.49566,6.7992,3.73258,0.26222,-1.72726,-1.90447,-1.62328,-9.3351,-7.24174,-5.92442,-5.08212,-4.19225,-3.94835,,,,,,,
3.49631,6.75844,3.5648,0.44142,-1.73316,-1.8285,-1.80962,-9.31876,-7.15784,-5.94427,-5.07798,-4.17042,-4.12583,,,,,,,
3.49694,6.54553,3.85005,0.1869,-1.6362,-1.8062,-1.92663,-9.28483,-7.18121,-5.93294,-5.09363,-4.24645,-4.15366,,,,,,,
3.49758,6.82423,3.71994,0.49007,-1.72101,-1.83483,-1.58309,-9.20661,-7.05868,-5.93967,-5.08895,-4.17212,-4.0858,,,,,,,
3.49822,6.90815,3.66707,0.40782,-1.5944,-1.80109,-1.55413,-9.33093,-7.09439,-5.94369,-5.11885,-4.2322,-3.95269,,,,,,,
3.49889,6.83656,3.78906,0.3222,-1.63664,-1.70612,-1.18342,-9.26131,-7.0746,-5.89179,-5.10426,-4.17424,-4.00985,,,,,,,
3.4995,6.95368,3.59223,0.55851,-1.61864,-1.93127,-1.73337,-9.29283,-7.14095,-5.92325,-5.05902,-4.18369,-3.88499,,,,,,,
3.5002,6.76172,4.00211,0.28448,-1.60917,-1.76693,-1.62295,-9.23414,-7.12815,-5.86464,-5.09199,-4.21954,-4.1351,,,,,,,
3.50079,7.08428,3.9081,0.2902,-1.61287,-1.83473,-1.45558,-9.27057,-7.14599,-5.85405,-5.0941,-4.20717,-3.81008,,,,,,,
3.50148,6.85605,3.79897,0.21929,-1.53947,-1.78945,-1.2146,-9.20525,-7.1772,-5.91935,-5.1021,-4.18301,-4.04146,,,,,,,
3.50207,6.81189,3.81212,0.33514,-1.56225,-1.80864,-1.72145,-9.33908,-7.19338,-5.89967,-5.08093,-4.21214,-4.0636,,,,,,,
3.50276,6.90641,3.88379,0.38947,-1.55842,-1.76824,-1.5686,-9.20762,-7.10856,-5.87895,-5.0645,-4.21378,-3.88147,,,,,,,
3.50335,6.85546,3.88592,0.35096,-1.46585,-1.68242,-1.57051,-9.23881,-7.07776,-5.91648,-5.07119,-4.21254,-3.90607,,,,,,,
3.50405,7.11802,3.93785,0.46914,-1.4642,-1.7091,-1.68218,-9.32603,-7.17962,-5.92728,-5.09029,-4.20386,-3.93775,,,,,,,
3.50471,6.99183,3.91091,0.3928,-1.53274,-1.65686,-1.64317,-9.20961,-7.09019,-5.93134,-5.10382,-4.20577,-3.84947,,,,,,,
3.50538,7.08336,3.98698,0.52061,-1.45529,-1.59549,-1.49881,-9.23328,-7.03148,-5.86782,-5.08077,-4.14737,-3.92651,,,,,,,
3.50602,7.04315,4.13435,0.54846,-1.47794,-1.56577,-1.58548,-9.32293,-7.04505,-5.85417,-5.07901,-4.24018,-3.94841,,,,,,,
3.50671,6.96302,4.01691,0.59116,-1.42662,-1.69889,-1.4404,-9.2415,-7.06271,-5.87584,-5.05444,-4.22108,-3.86018,,,,,,,
3.50735,6.99308,3.96458,0.60684,-1.44786,-1.57608,-1.81186,-9.27532,-7.15479,-5.87671,-5.06426,-4.21501,-4.03745,,,,,,,
3.508,7.12169,3.76067,0.6058,-1.46876,-1.51994,-1.58676,-9.22569,-7.21635,-5.96199,-5.0432,-4.14746,-4.06079,,,,,,,
3.50867,6.97337,4.05296,0.71297,-1.39021,-1.71921,-1.55182,-9.25196,-7.14303,-5.87246,-5.05469,-4.16602,-3.91514,,,,,,,
3.50929,7.01328,4.05444,0.4497,-1.44285,-1.52795,-1.64791,-9.2606,-7.11019,-5.92513,-5.08586,-4.12641,-4.01791,,,,,,,
3.51,6.92935,4.12974,0.58059,-1.38237,-1.59244,-1.09027,-9.20768,-7.19402,-5.89806,-5.07462,-4.14344,-4.0734,,,,,,,
3.51067,7.20622,4.04242,0.67769,-1.3786,-1.4376,-1.24858,-9.26066,-7.13082,-5.91917,-5.0667,-4.14357,-4.04116,,,,,,,
3.51129,7.17247,4.15955,0.53975,-1.33877,-1.4176,-1.47267,-9.21085,-7.17737,-5.92347,-5.09844,-4.1647,-3.86274,,,,,,,
3.51199,6.94442,4.31246,0.6093,-1.22761,-1.46482,-1.13951,-9.25289,-7.17494,-5.84072,-5.07722,-4.19279,-3.98575,,,,,,,
3.51268,7.28546,4.23059,0.71656,-1.25548,-1.55853,-1.32942,-9.24712,-7.12502,-5.83431,-5.10236,-4.21119,-4.07282,,,,,,,
3.51326,7.28004,4.1012,0.66728,-1.35515,-1.49812,-0.95962,-9.23619,-7.09642,-5.88315,-5.06823,-4.12791,-3.88905,,,,,,,
3.51395,7.07526,4.15588,0.6319,-1.28769,-1.45505,-1.08376,-9.15227,-7.19166,-5.88105,-5.09051,-4.1186,-3.9055,,,,,,,
3.51458,7.13389,4.15857,0.82279,-1.29853,-1.44989,-1.01453,-9.30526,-7.10152,-5.93343,-5.05187,-4.13652,-3.93683,,,,,,,
3.51522,7.11883,4.30842,0.8318,-1.29275,-1.38823,-1.57288,-9.30668,-7.16033,-5.89233,-5.07694,-4.14012,-3.94066,,,,,,,
3.51588,7.11359,4.08009,0.6338,-1.21955,-1.25429,-1.18882,-9.25579,-7.12647,-5.97887,-5.07973,-4.16125,-4.12362,,,,,,,
3.51651,7.18437,3.88385,0.82585,-1.24586,-1.38004,-1.43914,-9.25736,-7.12055,-5.92701,-5.02448,-4.17902,-4.1241,,,,,,,
3.5172,7.27161,4.23465,0.86579,-1.27629,-1.44761,-1.08485,-9.22312,-7.07197,-5.92686,-5.06848,-4.17083,-3.93046,,,,,,,
3.51779,7.40735,4.27123,0.83704,-1.28079,-1.349,-1.23123,-9.23316,-7.03415,-5.91137,-5.0923,-4.23723,-3.97976,,,,,,,
3.51851,6.97935,4.02459,0.71126,-1.19997,-1.09946,-1.13318,-9.28185,-7.14967,-5.82011,-5.03759,-4.13499,-3.99003,,,,,,,
3.51921,7.1684,4.09962,0.91048,-1.17281,-1.31514,-1.22089,-9.20936,-7.1769,-5.86414,-5.09957,-4.16,-3.92718,,,,,,,
3.5198,7.22581,4.39798,0.73589,-1.19668,-1.26849,-1.16421,-9.23002,-7.04294,-5.91125,-5.08229,-4.13438,-4.05759,,,,,,,
3.52048,7.42377,3.91397,0.62496,-1.15932,-1.37271,-0.86735,-9.27348,-7.12287,-5.9843,-5.07067,-4.10324,-3.88742,,,,,,,
3.52112,7.19078,4.12239,1.00772,-1.14584,-1.41394,-1.05786,-9.24424,-7.11727,-5.90123,-5.07233,-4.20003,-4.10389,,,,,,,
3.52175,7.30196,4.29943,0.86601,-1.14975,-1.30299,-1.4043,-9.24817,-7.07149,-5.88578,-5.06852,-4.15488,-3.81314,,,,,,,
3.52239,7.12758,4.18331,0.83342,-1.15483,-1.27313,-0.87516,-9.23426,-7.09737,-5.96398,-5.07012,-4.14658,-4.01793,,,,,,,
3.52302,7.13628,4.25941,0.95044,-1.17239,-1.21312,-0.70029,-9.27776,-7.04022,-5.8494,-5.03411,-4.15055,-3.93567,,,,,,,
3.52366,7.32234,4.44215,0.91964,-1.16537,-1.0781,-0.77769,-9.18357,-7.1285,-5.85808,-5.04672,-4.16295,-3.99346,,,,,,,
3.52428,7.2717,4.08486,0.94458,-1.10567,-1.14856,-1.1696,-9.17029,-7.11959,-5.91906,-5.03134,-4.17489,-3.99924,,,,,,,
3.52487,7.27362,4.41384,0.94093,-1.02072,-1.3635,-1.10247,-9.2871,-6.97895,-5.88588,-5.0696,-4.17962,-3.96869,,,,,,,
3.52557,7.2882,4.35033,0.97796,-1.0378,-1.20216,-1.10668,-9.22533,-7.17737,-5.90014,-5.04439,-4.12985,-4.01605,,,,,,,
3.52615,7.34396,4.45415,1.02265,-1.04107,-1.14413,-1.01912,-9.23082,-7.10609,-5.87875,-5.061,-4.18297,-3.97565,,,,,,,
3.52685,7.38992,4.63077,0.89174,-1.0336,-1.2478,-0.96017,-9.24427,-7.12959,-5.87573,-5.05502,-4.15777,-3.94584,,,,,,,
3.52744,7.36844,3.99697,0.85344,-1.12717,-1.19014,-0.75076,-9.27732,-7.06984,-5.86434,-5.03978,-4.09264,-3.9769,,,,,,,
3.52816,7.52387,4.33971,0.76463,-1.0797,-1.16754,-0.92172,-9.18031,-7.09807,-5.81667,-5.02934,-4.15926,-3.91972,,,,,,,
3.52885,7.25679,4.65485,0.82492,-1.00872,-1.2681,-0.77546,-9.22134,-6.98006,-5.85857,-5.0322,-4.15459,-3.87284,,,,,,,
3.52949,7.4077,4.50222,0.89373,-1.05074,-1.22663,-1.16173,-9.20933,-7.00313,-5.87793,-5.05626,-4.10527,-4.0913,,,,,,,
3.53013,7.36364,4.35352,1.05004,-1.05332,-0.99986,-1.02744,-9.27729,-7.04574,-5.90407,-5.05345,-4.10965,-3.88186,,,,,,,
3.53082,7.4089,4.2057,0.83245,-0.98118,-1.10028,-1.07,-9.18015,-7.12934,-5.84251,-5.05452,-4.16054,-4.00203,,,,,,,
3.53146,7.37114,4.10485,1.00815,-1.0028,-1.05963,-1.12428,-9.24686,-7.06576,-5.87667,-5.03844,-4.15576,-3.96576,,,,,,,
3.5321,7.40002,4.53234,0.99677,-1.0847,-1.15685,-0.79888,-9.2226,-7.10237,-5.94173,-5.07486,-4.10619,-3.92557,,,,,,,
3.53279,7.35096,4.29735,1.02496,-0.9492,-1.1296,-0.83795,-9.23063,-7.07439,-5.86345,-5.06425,-4.14412,-3.95414,,,,,,,
3.53344,7.33142,4.58831,1.04764,-0.95922,-1.23849,-0.72749,-9.22633,-7.1268,-5.83547,-5.04642,-4.12849,-4.0975,,,,,,,
3.53407,7.36445,4.46067,0.98253,-0.88841,-1.08051,-0.85041,-9.19538,-7.0646,-5.83439,-5.03828,-4.14327,-3.96877,,,,,,,
3.53466,7.35524,4.72771,0.99242,-1.05345,-1.12602,-1.02393,-9.18289,-7.09549,-5.82367,-5.03546,-4.14417,-3.87106,,,,,,,
3.53537,7.62401,4.57095,1.05572,-0.92933,-1.09801,-0.92619,-9.20918,-7.16211,-5.9545,-5.05684,-4.14555,-3.97661,,,,,,,
3.53605,7.46968,4.58697,0.96821,-0.97636,-1.07576,-0.94892,-9.20162,-7.06959,-5.84288,-5.06036,-4.1224,-3.93376,,,,,,,
3.53666,7.62973,4.46934,1.1412,-0.94051,-1.00952,-0.77494,-9.23573,-7.19722,-5.86584,-5.0361,-4.13023,-4.01051,,,,,,,
3.53737,7.41243,4.62718,1.14833,-0.88987,-1.18526,-0.86377,-9.15596,-7.11525,-5.84992,-5.04241,-4.13061,-3.9538,,,,,,,
3.53805,7.61517,4.59696,1.31629,-0.94126,-0.98982,-0.99228,-9.19206,-7.04717,-5.86399,-5.02742,-4.05517,-3.97287,,,,,,,
3.5387,7.58458,4.46126,1.13437,-0.85721,-0.96332,-0.93013,-9.14993,-7.12822,-5.83807,-5.05031,-4.09296,-4.03198,,,,,,,
3.53932,7.7485,4.43344,1.13618,-0.92231,-1.00284,-0.86017,-9.18662,-6.98846,-5.85673,-5.05413,-4.15968,-3.83807,,,,,,,
3.53999,7.38451,4.50439,1.0108,-0.91305,-1.04321,-1.03719,-9.1698,-7.21929,-5.83581,-5.04434,-4.12725,-3.79332,,,,,,,
3.54067,7.36081,4.52617,1.10989,-0.87211,-1.16258,-0.6015,-9.26011,-7.11525,-5.93486,-5.05629,-4.10888,-4.0132,,,,,,,
3.5413,7.58887,4.51579,1.06174,-0.83441,-1.02406,-0.67488,-9.09121,-7.05893,-5.87487,-5.06163,-4.12984,-3.95466,,,,,,,
3.54194,7.79929,4.71137,1.10034,-0.82426,-1.19618,-0.85987,-9.19704,-7.1049,-5.96119,-5.04758,-4.17042,-3.93153,,,,,,,
3.54259,7.63236,4.82878,1.13548,-0.82252,-0.92973,-1.05621,-9.21267,-7.04726,-5.82753,-5.03106,-4.09995,-3.87202,,,,,,,
3.54328,7.38336,4.53178,1.06347,-0.8844,-1.09818,-1.19992,-9.22818,-7.1369,-5.86212,-5.03704,-4.18877,-3.95877,,,,,,,
3.54388,7.68873,4.55034,1.26964,-0.92996,-0.97009,-0.58993,-9.22404,-7.02137,-5.8554,-5.03455,-4.12765,-3.88139,,,,,,,
3.54459,7.67239,4.50556,1.3055,-0.90824,-0.99489,-0.71063,-9.12062,-7.08254,-5.87526,-5.04467,-4.10616,-3.89702,,,,,,,
3.54526,7.59888,4.30606,1.14831,-0.83255,-0.93908,-0.47846,-9.19051,-7.07607,-5.94035,-5.02644,-4.13857,-3.93207,,,,,,,
3.54593,7.69705,4.53424,1.08214,-0.78024,-0.88549,-0.68514,-9.24865,-7.00696,-5.90655,-5.02067,-4.10935,-3.91784,,,,,,,
3.54656,7.46825,4.50691,1.1853,-0.77187,-1.00225,-0.91403,-9.22441,-7.07185,-5.94053,-5.03755,-4.11314,-3.88887,,,,,,,
3.5472,7.628,4.59492,1.31306,-0.76049,-0.9672,-0.57807,-9.26895,-7.08595,-5.90046,-5.04178,-4.09003,-4.02198,,,,,,,
3.54784,7.50594,4.64374,1.14664,-0.74703,-0.85814,-0.65368,-9.08696,-7.16046,-5.84878,-5.03917,-4.12415,-3.88215,,,,,,,
3.54852,7.50086,4.62034,1.23441,-0.87682,-0.85985,-0.71764,-9.24302,-7.06757,-5.83146,-5.02451,-4.12177,-3.88549,,,,,,,
3.54912,7.71309,4.72971,1.23292,-0.76072,-0.98013,-0.9011,-9.2436,-7.13831,-5.89321,-5.04964,-4.14589,-3.94086,,,,,,,
3.54982,7.72167,4.62365,1.24334,-0.76588,-0.84078,-0.77466,-9.308,-7.13153,-5.83174,-5.01529,-4.11718,-3.96453,,,,,,,
3.5505,7.70948,4.75281,1.19912,-0.78164,-0.93138,-0.49173,-9.25821,-7.04945,-5.90921,-5.01764,-4.13673,-3.95131,,,,,,,
3.55115,7.81511,4.74341,1.11615,-0.82913,-1.03366,-0.55921,-9.24895,-7.08499,-5.81089,-5.02308,-4.13962,-4.02132,,,,,,,
3.5518,7.88222,4.65067,1.25352,-0.72705,-0.78516,-0.49376,-9.28345,-7.06687,-5.85373,-5.0387,-4.10875,-3.93185,,,,,,,
3.5525,7.45648,4.651,1.44607,-0.81943,-0.80796,-0.44061,-9.30154,-6.99386,-5.84506,-5.01992,-4.14342,-3.93848,,,,,,,
3.55309,7.75592,4.67587,1.28301,-0.74948,-0.84736,-0.58604,-9.16365,-7.15864,-5.89486,-5.0451,-4.12237,-3.95568,,,,,,,
3.55379,7.56397,4.52552,1.10617,-0.66795,-0.81124,-0.549,-9.23811,-7.14431,-5.92171,-5.05113,-4.166,-3.97061,,,,,,,
3.55438,7.8073,4.65965,1.16446,-0.76859,-0.87711,-0.61089,-9.19136,-7.16508,-5.83487,-5.02905,-4.13512,-4.01384,,,,,,,
3.55508,7.76815,4.59104,1.29875,-0.69813,-0.9472,-0.44262,-9.216,-7.12626,-5.83324,-5.03872,-4.11817,-4.01153,,,,,,,
3.55577,7.59193,4.61852,1.48939,-0.62101,-0.68782,-0.68033,-9.26034,-7.10517,-5.87101,-5.02474,-4.12546,-3.96798,,,,,,,
3.55642,7.91806,4.61847,1.31195,-0.66491,-0.84519,-0.66617,-9.30977,-7.11508,-5.86292,-5.03026,-4.10816,-3.94909,,,,,,,
3.55706,7.85474,4.84505,1.29189,-0.78207,-0.89738,-0.49902,-9.1951,-6.98955,-5.94546,-5.05335,-4.16266,-3.9361,,,,,,,
3.55773,7.83644,4.67638,1.23404,-0.6853,-0.73695,-0.42996,-9.13679,-7.09949,-5.91306,-5.02017,-4.16041,-3.99101,,,,,,,
3.55833,7.88583,4.64278,1.33123,-0.69447,-0.86831,-0.3475,-9.2674,-7.09175,-5.85097,-5.00838,-4.14397,-3.92805,,,,,,,
3.55902,7.74434,5.00036,1.4054,-0.67641,-0.86089,-0.52644,-9.17957,-7.15738,-5.82836,-5.02863,-4.11488,-4.0012,,,,,,,
3.55966,7.55315,4.76052,1.32482,-0.64168,-0.71068,-0.47929,-9.17166,-7.06608,-5.87809,-5.00163,-4.14443,-3.82272,,,,,,,
3.56031,7.69264,4.77943,1.4098,-0.60681,-0.7032,-0.34271,-9.18473,-7.09145,-5.87311,-5.04111,-4.1676,-3.88627,,,,,,,
3.56101,7.8625,4.67627,1.28872,-0.6767,-0.81322,-0.45192,-9.23208,-7.05969,-5.84569,-5.04062,-4.11293,-3.96973,,,,,,,
3.5616,7.78263,4.58486,1.37867,-0.68917,-0.77381,-0.58971,-9.22187,-7.06069,-5.86619,-5.03246,-4.09284,-3.91466,,,,,,,
3.56231,7.88271,4.84325,1.47171,-0.60006,-0.76509,-0.45361,-9.19202,-7.11623,-5.87663,-5.03682,-4.13808,-4.03164,,,,,,,
3.56299,7.87631,4.63061,1.71987,-0.67679,-0.78749,-0.47721,-9.21701,-7.08875,-5.85179,-5.05824,-4.09839,-3.97809,,,,,,,
3.56365,7.8654,4.7288,1.41368,-0.67021,-0.63453,-0.56575,-9.18362,-7.13465,-5.85873,-5.03861,-4.12406,-3.90365,,,,,,,
3.56428,7.66203,4.77695,1.39437,-0.58793,-0.73183,-0.6324,-9.13435,-7.03152,-5.85588,-5.03031,-4.18224,-3.99955,,,,,,,
3.56492,7.8254,4.67497,1.33011,-0.50668,-0.69173,-0.70121,-9.16794,-7.02893,-5.9138,-5.02516,-4.08254,-3.9923,,,,,,,
3.56556,7.86624,4.63155,1.58654,-0.58463,-0.80975,-0.48106,-9.1683,-6.98029,-5.87696,-5.03172,-4.12767,-3.8429,,,,,,,
3.56623,7.91472,4.88555,1.37756,-0.5739,-0.76858,-0.47144,-9.20201,-7.12118,-5.84988,-5.06861,-4.14061,-3.95348,,,,,,,
3.56689,7.84843,4.95172,1.71706,-0.52523,-0.697,-0.40268,-9.14307,-7.08695,-5.70784,-5.03318,-4.09882,-3.97393,,,,,,,
3.56752,7.80064,4.83249,1.49339,-0.56864,-0.55974,-0.37293,-9.29392,-7.10504,-5.87298,-5.05337,-4.17094,-3.95668,,,,,,,
3.56816,7.7792,5.08643,1.39744,-0.50837,-0.78054,-0.58987,-9.15567,-7.09687,-5.86584,-5.04415,-4.12586,-3.98639,,,,,,,
3.56881,7.90358,5.09172,1.42056,-0.55111,-0.79101,-0.31068,-9.22021,-7.08626,-5.84188,-5.06097,-4.15434,-4.01526,,,,,,,
3.56949,7.74133,4.81271,1.41128,-0.48582,-0.60662,-0.18708,-9.21413,-7.08044,-5.83256,-5.0566,-4.12021,-3.9001,,,,,,,
3.5701,7.85496,4.82466,1.61996,-0.56919,-0.66262,-0.39769,-9.29309,-7.0838,-5.8702,-5.02925,-4.11664,-3.97354,,,,,,,
3.57081,7.99419,4.8475,1.6003,-0.54184,-0.67634,-0.22386,-9.14442,-7.00567,-5.85722,-5.02655,-4.16091,-3.92394,,,,,,,
3.57149,7.96539,5.00704,1.47301,-0.56505,-0.69889,-0.46878,-9.11078,-7.07096,-5.85771,-5.00878,-4.15973,-4.04584,,,,,,,
3.57216,7.94861,4.96001,1.56542,-0.54873,-0.74156,-0.54947,-9.22332,-7.07964,-5.9227,-5.02478,-4.1266,-3.94572,,,,,,,
3.57279,7.802,5.18228,1.42435,-0.45419,-0.72764,-0.28562,-9.19806,-7.12289,-5.80923,-5.05882,-4.11271,-3.96064,,,,,,,
3.57342,7.87815,5.00714,1.43958,-0.47299,-0.789,-0.4213,-9.15328,-7.14778,-5.81772,-5.035,-4.18997,-3.88181,,,,,,,
3.57406,7.98438,5.05198,1.36663,-0.51466,-0.59349,-0.33474,-9.2344,-7.09564,-5.89541,-5.0395,-4.11819,-3.92561,,,,,,,
3.57472,8.00126,4.94309,1.47216,-0.53394,-0.5569,-0.27182,-9.23986,-7.0876,-5.91686,-5.02874,-4.07586,-3.97357,,,,,,,
3.57534,7.98037,4.84915,1.37911,-0.49313,-0.67239,-0.54259,-9.17872,-7.01836,-5.91807,-5.03103,-4.12481,-3.92553,,,,,,,
3.57602,7.96098,5.21368,1.5204,-0.46581,-0.62359,-0.39929,-9.20634,-7.05039,-5.9118,-5.01582,-4.171,-4.03663,,,,,,,
3.57667,7.77523,4.82887,1.58696,-0.50852,-0.64582,-0.23087,-9.07787,-6.99995,-5.92954,-5.06091,-4.18551,-3.94066,,,,,,,
3.57731,8.28325,5.23445,1.42488,-0.47916,-0.63519,-0.45477,-9.26673,-7.02268,-5.89035,-5.03009,-4.0819,-3.98831,,,,,,,
3.578,8.05715,5.03381,1.54737,-0.43685,-0.52161,-0.35527,-9.21316,-7.12824,-5.85903,-5.00664,-4.1035,-3.99138,,,,,,,
3.57861,8.09119,4.72204,1.47434,-0.4654,-0.59107,-0.49741,-9.24897,-7.12214,-5.83036,-5.05096,-4.12986,-3.97607,,,,,,,
3.5793,7.99345,5.00694,1.48651,-0.41503,-0.55843,-0.35792,-9.08689,-7.05857,-5.86224,-5.01998,-4.12784,-3.89995,,,,,,,
3.5799,8.11656,5.01977,1.53574,-0.43938,-0.55024,-0.60766,-9.1089,-7.12926,-5.83053,-5.02877,-4.1561,-3.96209,,,,,,,
3.58061,7.9771,5.08506,1.57354,-0.38884,-0.63548,-0.16441,-9.1514,-7.11466,-5.87313,-5.0213,-4.10692,-3.95613,,,,,,,
3.58129,8.01056,4.9509,1.58475,-0.41015,-0.52041,-0.29698,-9.114,-7.03034,-5.8259,-5.02325,-4.16749,-3.91166,,,,,,,
3.58193,8.1356,5.00781,1.72434,-0.4386,-0.71565,-0.15774,-9.22559,-7.04501,-5.86249,-5.02446,-4.09025,-3.89926,,,,,,,
3.58258,8.03036,4.73451,1.71415,-0.39356,-0.47867,-0.29844,-9.23943,-7.0876,-5.88939,-5.02384,-4.13544,-4.06935,,,,,,,
3.58326,8.17365,4.8122,1.68656,-0.40434,-0.54874,-0.46381,-9.22806,-7.04255,-5.81609,-5.01511,-4.10086,-3.98357,,,,,,,
