A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
-0.57703,29.43331,25.68924,21.98882,19.38085,18.59735,18.52932,-10.11857,-8.27357,-7.2198,-6.36443,-5.43262,-5.13142,,,,,,,
-0.57642,29.38342,25.79642,21.80409,19.37296,18.5691,18.32765,-10.08866,-8.23737,-7.10667,-6.34143,-5.4498,-5.06172,,,,,,,
-0.57581,29.51411,25.63965,21.90786,19.36753,18.65201,18.27215,-10.07189,-8.19422,-7.12779,-6.33932,-5.39352,-5.15142,,,,,,,
-0.57522,29.4557,25.8378,21.90604,19.39858,18.5956,18.1573,-10.13134,-8.13461,-7.10166,-6.35903,-5.39606,-5.22212,,,,,,,
-0.57463,29.23876,25.74143,21.8718,19.34175,18.60291,18.25185,-10.13717,-8.24366,-7.13491,-6.35273,-5.42015,-5.21339,,,,,,,
-0.57404,29.23338,25.89428,21.90213,19.27334,18.71717,18.49375,-10.08672,-8.24905,-7.17529,-6.38385,-5.46504,-5.21714,,,,,,,
-0.57345,29.35236,25.58594,21.98913,19.36682,18.51206,18.26579,-10.18221,-8.15236,-7.12707,-6.35726,-5.47041,-5.09728,,,,,,,
-0.57286,29.43831,25.9004,21.77887,19.32699,18.51658,18.26285,-10.16288,-8.17219,-7.0967,-6.38155,-5.42612,-5.28905,,,,,,,
-0.57226,29.2818,25.97126,21.9375,19.31878,18.66099,18.47891,-10.09063,-8.19445,-7.1563,-6.36315,-5.46019,-5.06491,,,,,,,
-0.57168,29.40329,25.65927,21.91266,19.33987,18.58337,18.33993,-10.16068,-8.23391,-7.22381,-6.34846,-5.43689,-5.08934,,,,,,,
-0.57108,29.34358,25.8333,21.81225,19.24676,18.64759,18.26225,-10.15501,-8.24318,-7.13972,-6.38353,-5.47419,-5.10095,,,,,,,
-0.5705,29.32003,25.88655,21.66625,19.23334,18.63548,18.78807,-10.14217,-8.2419,-7.11788,-6.35471,-5.39582,-5.15459,,,,,,,
-0.56991,29.45327,26.23093,21.73461,19.26776,18.52674,18.60508,-10.20967,-8.24043,-7.16447,-6.35614,-5.38643,-5.09442,,,,,,,
-0.56931,29.21184,25.61247,21.84934,19.33888,18.58096,18.41085,-10.09226,-8.17317,-7.12366,-6.36229,-5.41833,-5.13478,,,,,,,
-0.56872,29.20316,26.02769,21.79032,19.31581,18.54924,18.448,-10.07742,-8.14145,-7.17115,-6.36525,-5.44723,-5.19919,,,,,,,
-0.56813,29.322,25.86362,21.70077,19.27787,18.59292,18.23374,-10.23748,-8.25425,-7.15823,-6.32995,-5.48174,-5.11763,,,,,,,
-0.56754,29.36241,25.84007,21.79003,19.29049,18.55293,18.28573,-10.16324,-8.29386,-7.14398,-6.37482,-5.45109,-5.11855,,,,,,,
-0.56695,29.24268,25.58367,21.90826,19.31351,18.51079,18.3506,-10.13564,-8.12616,-7.13447,-6.37216,-5.37451,-5.12255,,,,,,,
-0.56636,29.17007,25.95054,21.75201,19.27733,18.53139,18.42611,-10.15584,-8.2272,-7.13957,-6.38386,-5.46905,-5.07899,,,,,,,
